curr
ID,PE1,PE2,PE3,PE4,PE5,PE6
8,8,8,8,8,8,8
7,7,7,7,7,7,7
6,6,6,6,6,6,6
5,5,5,5,5,5,5
4,4,4,4,4,4,4
3,3,3,3,3,3,3
2,2,2,2,2,2,2
1,1,1,1,1,1,1
0,8,0,0,0,0,0
0,7,0,0,0,0,0
0,6,0,0,0,0,0
0,5,0,0,0,0,0
0,4,0,0,0,0,0
0,3,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6
7,7,7,7,7,7,7
6,6,6,6,6,6,6
5,5,5,5,5,5,5
4,4,4,4,4,4,4
3,3,3,3,3,3,3
2,2,2,2,2,2,2
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,7,0,0,0,0,0
0,6,0,0,0,0,0
0,5,0,0,0,0,0
0,4,0,0,0,0,0
0,3,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,7,2,3,4,5,6
-1,7,2,3,4,5,6
-1,7,2,3,4,5,6
-1,7,2,3,4,5,6
-1,7,2,3,4,5,6
-1,7,2,3,4,5,6
-1,7,2,3,4,5,6
-1,7,2,3,4,5,6
