curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
1,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
3,2,2,0,0,0,0,0,0,0
4,3,3,3,0,0,0,0,0,0
5,4,4,4,4,0,0,0,0,0
6,5,5,5,5,5,0,0,0,0
7,6,6,6,6,6,6,0,0,0
8,7,7,7,7,7,7,7,0,0
9,8,8,8,8,8,8,8,8,0
10,9,9,9,9,9,9,9,9,9
11,10,10,10,10,10,10,10,0,0
12,11,11,11,11,11,11,11,11,0
13,12,12,12,12,12,12,12,12,12
14,13,13,13,13,13,13,13,0,0
15,14,14,14,14,14,14,14,14,0
0,15,15,15,15,15,15,15,15,15
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0
3,2,2,2,0,0,0,0,0,0
4,3,3,3,3,0,0,0,0,0
5,4,4,4,4,4,0,0,0,0
6,5,5,5,5,5,5,0,0,0
7,6,6,6,6,6,6,6,0,0
8,7,7,7,7,7,7,7,7,0
6,8,8,8,8,8,8,8,8,8
10,6,6,6,6,6,6,6,0,0
11,10,10,10,10,10,10,10,10,0
6,11,11,11,11,11,11,11,11,11
13,6,6,6,6,6,6,6,0,0
14,13,13,13,13,13,13,13,13,0
0,14,14,14,14,14,14,14,14,14
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,10,8,9
-1,1,2,3,4,5,6,10,11,9
-1,1,2,3,4,5,6,10,11,12
-1,1,2,3,4,5,6,13,11,12
-1,1,2,3,4,5,6,13,14,12
-1,1,2,3,4,5,6,13,14,15
