curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
8,8,8,8,8,8,8,8
4,4,4,4,4,0,0,0
3,3,3,3,3,0,0,0
2,2,2,2,2,0,0,0
8,8,0,0,0,0,0,0
7,7,0,0,0,7,7,7
6,6,0,0,0,6,6,6
5,5,0,0,0,5,5,5
1,1,1,1,1,1,1,1
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
4,4,4,4,4,7,7,7
3,3,3,3,3,0,0,0
2,2,2,2,2,0,0,0
1,1,1,1,1,0,0,0
7,7,0,0,0,0,0,0
6,6,0,0,0,6,6,6
5,5,0,0,0,5,5,5
1,1,0,0,0,1,1,1
0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
